id,md5Checksum,mimeType,modifiedTime,name,size,webViewLink
1s7pb4eDrEXozxDct22V7bSDHYQWOrhy7,10896ae664f07bd9b954e935f00f2fb9,application/json,2026-08-22T08:11:46.545Z,REEL-0004_qc.json,3301,https://drive.google.com/file/d/1s7pb4eDrEXozxDct22V7bSDHYQWOrhy7/view?usp=drivesdk
1jRNCgx9dPvdOIFM2pIg2vlti2ntGyX2S,1e20c25919c289a0b63ee113f311253c,image/png,2026-08-22T08:11:04.892Z,REEL-0004_ref_caution.png,4684991,https://drive.google.com/file/d/1jRNCgx9dPvdOIFM2pIg2vlti2ntGyX2S/view?usp=drivesdk
1iKe7_6gT5pLOZ2Qh8gYHp7CVSW7KAe9x,10acc89e144efbbd2091782e248d3a0c,image/png,2026-08-22T08:11:02.483Z,REEL-0004_ref_coordination.png,5013104,https://drive.google.com/file/d/1iKe7_6gT5pLOZ2Qh8gYHp7CVSW7KAe9x/view?usp=drivesdk
1gneESR02QX4Wzy3Rb9wiY7QA39k-5yVB,a8e834da4abb16897b5275cd533b490e,image/png,2026-08-22T08:11:00.066Z,REEL-0004_ref_inward.png,5059266,https://drive.google.com/file/d/1gneESR02QX4Wzy3Rb9wiY7QA39k-5yVB/view?usp=drivesdk
1R81_OYdRMDpAw9V-oN_hM2rdmKGhPXDJ,358367f5e0d3fc1f3b9928742b799549,image/png,2026-08-22T08:10:57.609Z,REEL-0004_ref_primary.png,5054777,https://drive.google.com/file/d/1R81_OYdRMDpAw9V-oN_hM2rdmKGhPXDJ/view?usp=drivesdk
1KXLAf_2P_cZk0AF8sCmS1HYIoOp_ZgEu,ddd60489f14b029c043ec5123209a936,text/markdown,2026-08-22T08:10:56.107Z,REEL-0004_research.md,3400,https://drive.google.com/file/d/1KXLAf_2P_cZk0AF8sCmS1HYIoOp_ZgEu/view?usp=drivesdk
1YmsUwGYV31MGprqjhKoYRt6ywNo8mw8U,3e67146dd7b973a252ae14d86c3b0b0d,text/markdown,2026-08-22T08:10:54.609Z,REEL-0004_production_blueprint.md,2327,https://drive.google.com/file/d/1YmsUwGYV31MGprqjhKoYRt6ywNo8mw8U/view?usp=drivesdk
1ByrCDnFh7dI_eftraSYBxDJvklnq9fPm,5bfdf02e32d6f576b3846dd2fba3c139,application/json,2026-08-22T08:10:53.282Z,REEL-0004_claims.json,4402,https://drive.google.com/file/d/1ByrCDnFh7dI_eftraSYBxDJvklnq9fPm/view?usp=drivesdk
14Qyi7gqb5sT4o3ZL95rv0JxLCH7216fS,629c1c32392695839676b9fba13d6ed4,text/markdown,2026-08-22T08:10:51.834Z,REEL-0004_script_hi.md,3281,https://drive.google.com/file/d/14Qyi7gqb5sT4o3ZL95rv0JxLCH7216fS/view?usp=drivesdk
1XOyzXk_Q8YfgBUZ_jmvb7drnpsGvEWZe,405db3a3be0b7a48e65bf869ecad38d8,text/plain,2026-08-22T08:10:50.463Z,REEL-0004_captions.srt,1396,https://drive.google.com/file/d/1XOyzXk_Q8YfgBUZ_jmvb7drnpsGvEWZe/view?usp=drivesdk
12R13h6T1yrAZ8BrUIWwaKaHwJbL3vidw,5316901442bf2cbbf10f88a72d82b7b1,audio/wav,2026-08-22T08:10:49.155Z,REEL-0004_voice.wav,3097422,https://drive.google.com/file/d/12R13h6T1yrAZ8BrUIWwaKaHwJbL3vidw/view?usp=drivesdk
19wlpNjuiJoyc-yTnN98WVLTabL5Fr105,aedd39824942341221d209cd8f7390a5,video/mp4,2026-08-22T08:10:47.560Z,REEL-0004_reel.mp4,14349898,https://drive.google.com/file/d/19wlpNjuiJoyc-yTnN98WVLTabL5Fr105/view?usp=drivesdk
